작업분류,항목분류,항목명,작업 상세내용,담당자,상태,진행율,시작일,완료일,일수,주의사항,요구사항,경로,비고,1주미만주말포함,작업일,작업일(1),"주간 "
디자인,서브,PRODUCTS,굿즈상품 페이지,민경,완료,100,01/29/2025,02/06/2025,9,,,,,Yes,5,7,1
디자인,공통,상단/하단,"로고, 상단 영역 메뉴바, 하단 영역 카피라이트",민경,완료,100,01/17/2025,01/22/2025,6,,,,,Yes,4,6,0
발표,공통,발표준비,"자료 정리, 발표 PPT 작성","민경, 수현",진행 중,80,02/07/2025,02/10/2025,4,,,,,Yes,2,4,0
기획,공통,자료수집,"자료수집, 와이어프레임(발사믹) 작성","민경, 수현",완료,100,01/08/2025,01/31/2025,24,,"01.15일 발사믹 내용 합치기
→ 추가 수정사항이 있어서 일정 변경됨!
→ 로그인, 로그아웃, 회원가입, 장바구니 기능 추가",,,Yes,16,18,3
퍼블리싱,공통,로딩/전환 화면,로딩화면,수현,중단,40,01/17/2025,02/07/2025,22,,웹사이트를 먼저 구현하고 로딩화면 구현 예정,,,No,16,16,3
디자인,서브,ABOUT,캐릭터&성우 소개 페이지,민경,완료,100,01/21/2025,01/24/2025,4,,,,,No,4,4,0
퍼블리싱,서브,PRODUCTS,굿즈상품 페이지,민경,완료,100,01/29/2025,02/06/2025,9,,01.23 상품 리스트에서 장바구니 담기 기능 추가,,,Yes,5,7,1
기획,공통,주제선정,"주제선정, 벤치마킹, 수행계획서 작성","민경, 수현",완료,100,01/02/2025,01/07/2025,6,수행계획서 01.08일까지 제출,,https://docs.google.com/document/d/1ZjqaBqO1uNGFvotn8r-k2K9jcO3BVLlQujOxTviypes/edit?usp=sharing,,Yes,4,6,0
디자인,공통,로딩/전환 화면,로딩화면,수현,중단,40,01/17/2025,02/07/2025,22,,웹사이트를 먼저 구현하고 로딩화면 구현 예정,,,No,16,16,3
디자인,메인,MAIN,"메인 비쥬얼영역, 캐릭터카드",수현,완료,100,01/17/2025,01/23/2025,7,,25-01-23 웹버전 완료,,,No,7,7,0
퍼블리싱,공통,상단/하단,"로고, 상단 영역 메뉴바, 하단 영역 카피라이트",민경,완료,100,01/17/2025,01/22/2025,6,,"01.30 로그인, 로그아웃, 회원가입, 장바구니 버튼 추가",,,Yes,4,6,0
퍼블리싱,메인,MAIN,"메인 비쥬얼영역, 캐릭터카드",수현,완료,100,01/17/2025,01/23/2025,7,,25-01-23 웹버전 완료,,,No,7,7,0
퍼블리싱,서브,STORY,"컨셉아트, 제작스토리 페이지",수현,완료,100,01/23/2025,01/30/2025,8,,,,,No,6,6,1
디자인,서브,STORY,"컨셉아트, 제작스토리 페이지",수현,완료,100,01/23/2025,01/30/2025,8,,,,,No,6,6,1
퍼블리싱,서브,ABOUT,캐릭터&성우 소개 페이지,민경,완료,100,01/21/2025,01/24/2025,4,,,,,No,4,4,0
디자인,서브,VIDEO,유튜브 영상&음악 페이지,수현,완료,100,01/30/2025,02/04/2025,6,,,,,Yes,4,6,0
퍼블리싱,서브,VIDEO,유튜브 영상&음악 페이지,수현,완료,100,01/30/2025,02/04/2025,6,,,,,Yes,4,6,0
퍼블리싱,공통,MERGE,코드 병합,민경,완료,100,02/01/2025,02/07/2025,7,Vue 컴포넌트로 코드 변경,,,,Yes,5,7,0
퍼블리싱,공통,TEST,오류테스트 및 수정,민경,완료,100,02/01/2025,02/07/2025,7,클린 코드 지향 (코드 반복 줄이고 공통 부분으로 만들기 필수!),,,,Yes,5,7,0
회의,공통,3차 회의,3차 회의록 작성,민경,완료,100,01/07/2025,01/07/2025,1,,,https://docs.google.com/document/d/1YNqm9WKO0MksAK77givx-cH7zoK64kGZ/edit?usp=sharing&ouid=102441668002332984179&rtpof=true&sd=true,,No,1,1,0
회의,공통,2차 회의,2차 회의록 작성,수현,완료,100,01/03/2025,01/03/2025,1,,,https://docs.google.com/document/d/1hKRBphqgpe5p-PC3otZh8L_Ya0uhxZZI/edit?usp=sharing&ouid=102441668002332984179&rtpof=true&sd=true,,No,1,1,0
회의,공통,1차 회의,1차 회의록 작성,민경,완료,100,01/02/2025,01/02/2025,1,,,https://docs.google.com/document/d/1BmJMlW8AYmvN0eFVvB7d3kmB4ux1BByR/edit?usp=sharing&ouid=102441668002332984179&rtpof=true&sd=true,,No,1,1,0
회의,공통,4차 회의,4차 회의록 작성,수현,완료,100,01/08/2025,01/08/2025,1,,,,,No,1,1,0
퍼블리싱,공통,코딩 기본셋팅,"Vue.js, jQuery, WebFont, Reset.css, basic.js 등. 코딩 기본셋팅",민경,완료,100,01/15/2025,01/15/2025,1,수현님께 코드 설명 및 공유,,,,No,1,1,0
퍼블리싱,서브,CART,장바구니 목록,민경,완료,100,02/04/2025,02/06/2025,3,Vuex store 활용,"장바구니 상품 담기, 수량 변경, 삭제 , 재고 변경, soldout 기능 구현",,,No,3,3,0
퍼블리싱,서브,"LOGIN, LOGOUT, JOIN, MYPAGE","로그인, 로그아웃, 회원가입",민경,완료,100,02/03/2025,02/07/2025,5,웹 로컬 스토리지에 회원가입 정보 저장,"로그인, 로그아웃, 회원가입 기능 구현",,,No,5,5,0
